iter	RMSE
0	10229159.33
1	9780888.343
2	9364541.316
3	8979854.517
4	8607261.067
5	8268323.786
6	7930679.414
7	7608736.745
8	7287877.751
9	7001562.156
10	6721156.739
11	6463086.64
12	6186340.29
13	5933650.983
14	5709146.626
15	5483814.931
16	5290037.365
17	5089400.825
18	4878270.759
19	4700547.726
20	4510126.57
21	4334232.352
22	4168922.065
23	4011235.442
24	3853791.547
25	3715831.19
26	3573788.102
27	3429911.922
28	3299746.736
29	3178861.505
30	3058275.156
31	2949069.507
32	2839458.967
33	2743243.006
34	2640300.658
35	2539923.501
36	2444554.31
37	2358234.543
38	2279469.105
39	2203723.877
40	2124388.357
41	2053747.344
42	1981579.246
43	1912419.176
44	1846126.117
45	1784951.028
46	1728285.518
47	1669986.375
48	1613084.783
49	1562605.476
50	1513152.125
51	1467178.549
52	1424931.828
53	1380002.4
54	1341030.65
55	1299689.992
56	1262332.14
57	1225430.71
58	1192848.843
59	1158072.672
60	1125596.83
61	1092389.911
62	1061198.668
63	1033242.449
64	1005432.503
65	978240.9711
66	954108.2971
67	930727.7653
68	908763.1536
69	884769.3203
70	862506.9547
71	842109.8296
72	824533.1047
73	807765.0769
74	792419.9299
75	775282.2623
76	757882.3487
77	741403.0066
78	726561.7805
79	711717.4966
80	697143.8389
81	684468.1736
82	670284.7129
83	658575.2528
84	646528.8193
85	637169.1088
86	626548.3651
87	616008.0205
88	606647.8381
89	596681.5225
90	589007.0696
91	580425.2313
92	572552.9635
93	564685.7807
94	556833.7056
95	549172.3916
96	542533.9107
97	536830.3213
98	530400.0424
99	524440.5626
100	518378.2322
101	512824.9396
102	506224.5505
103	502288.6076
104	496240.3171
105	490590.6394
106	485696.2696
107	480266.8002
108	475942.2639
109	471585.8821
110	467750.1066
111	464287.1344
112	459736.9294
113	456388.3545
114	452737.0627
115	448932.5884
116	445510.7804
117	441502.3372
118	438910.3542
119	435972.5089
120	432818.7195
121	429590.6258
122	426018.0532
123	422850.4102
124	419359.3824
125	416319.743
126	413905.9487
127	412116.2678
128	409849.5169
129	407703.5881
130	405031.0507
131	402354.1939
132	401365.5752
133	399531.3726
134	397301.8549
135	395106.652
136	394186.4921
137	391374.462
138	389306.5978
139	386995.3615
140	385475.582
141	383438.1205
142	381365.2095
143	379462.9717
144	377443.6525
145	375851.4826
146	374607.5367
147	372822.1639
148	371871.0747
149	370519.7724
150	368722.2607
151	367370.8411
152	366253.3802
153	364996.0273
154	364105.4281
155	362027.4569
156	360456.538
157	359510.8077
158	358365.1564
159	357573.2606
160	355708.0235
161	354940.3324
