iter	Passed	Remaining
0	1	1374
1	2	1091
2	2	966
3	3	917
4	4	889
5	5	853
6	5	827
7	6	805
8	7	826
9	8	825
10	9	825
11	9	813
12	10	806
13	11	816
14	12	807
15	12	799
16	13	795
17	14	798
18	15	795
19	16	801
20	17	799
21	17	796
22	18	792
23	19	788
24	20	781
25	20	774
26	21	769
27	22	770
28	22	766
29	23	765
30	24	766
31	25	766
32	26	763
33	27	779
34	28	781
35	29	781
36	29	780
37	30	777
38	31	777
39	32	774
40	33	773
41	33	769
42	34	766
43	35	764
44	36	766
45	37	769
46	37	768
47	38	768
48	39	767
49	40	764
50	40	761
51	41	759
52	42	758
53	43	755
54	44	756
55	44	753
56	45	751
57	46	749
58	46	747
59	47	746
60	48	744
61	49	745
62	49	741
63	50	740
64	51	738
65	52	738
66	52	736
67	53	737
68	54	736
69	55	735
70	56	733
71	56	733
72	57	731
73	58	730
74	59	728
75	59	728
76	60	727
77	61	726
78	62	725
79	63	726
80	63	724
81	64	722
82	65	721
83	66	719
84	66	719
85	67	718
86	68	717
87	69	716
88	69	714
89	70	715
90	71	715
91	72	714
92	73	714
93	73	711
94	74	709
95	75	708
96	76	707
97	76	705
98	77	705
99	78	703
100	79	704
101	79	702
102	80	701
103	81	699
104	81	698
105	82	697
106	83	695
107	84	695
108	84	694
109	85	694
110	86	693
111	87	692
112	88	691
113	88	690
114	89	689
115	90	688
116	91	687
117	91	686
118	92	686
119	93	686
120	94	685
121	95	686
122	96	685
123	96	684
124	97	683
125	98	682
126	99	681
127	100	681
128	100	680
129	101	679
130	102	678
131	103	679
132	104	678
133	104	677
134	105	676
135	106	675
136	106	674
137	107	672
138	108	673
139	109	672
140	110	671
141	110	670
142	111	669
143	112	668
144	113	667
145	113	666
146	114	665
147	115	664
148	116	663
149	116	661
150	117	660
151	118	659
152	118	658
153	119	658
154	120	657
155	121	656
156	122	656
157	123	656
158	123	655
159	124	655
160	125	655
161	126	654
162	127	653
163	127	652
164	128	651
165	129	650
166	130	649
167	130	648
168	131	646
169	132	645
170	133	644
171	133	644
172	134	642
173	135	642
174	136	641
175	136	640
176	137	638
177	138	638
178	139	637
179	139	636
180	140	636
181	141	636
182	142	635
183	143	634
184	143	633
185	144	633
186	145	631
187	146	631
188	146	629
189	147	630
190	148	630
191	149	629
192	150	629
193	151	628
194	151	627
195	152	626
196	153	625
197	154	625
198	155	624
199	155	623
200	156	622
201	157	622
202	158	621
203	159	621
204	160	620
205	160	619
206	161	619
207	162	618
208	163	617
209	164	617
210	164	616
211	165	615
212	166	614
213	167	613
214	167	613
215	168	612
216	169	611
217	170	610
218	171	609
219	171	609
220	172	608
221	173	607
222	174	606
223	174	605
224	175	605
225	176	604
226	177	603
227	178	603
228	178	602
229	179	601
230	180	600
231	181	600
232	182	599
233	183	599
234	183	598
235	184	597
236	186	599
237	186	598
238	187	598
239	188	597
240	189	597
241	190	596
242	191	595
243	191	593
244	192	593
245	193	592
246	194	591
247	194	590
248	195	589
249	196	588
250	196	587
251	198	589
252	199	588
253	200	588
254	201	587
255	201	586
256	203	587
257	203	586
258	204	585
259	205	584
260	206	584
261	207	583
262	208	582
263	208	582
264	209	581
265	210	580
266	211	579
267	211	578
268	212	578
269	213	577
270	214	577
271	215	576
272	216	575
273	216	574
274	217	574
275	218	573
276	219	572
277	220	571
278	220	570
279	221	569
280	222	569
281	223	568
282	223	567
283	224	567
284	225	566
285	226	565
286	227	564
287	228	564
288	228	563
289	229	562
290	230	561
291	231	560
292	232	560
293	232	559
294	233	558
295	234	557
296	235	556
297	235	555
298	236	554
299	237	553
300	238	553
301	239	553
302	240	553
303	241	552
304	242	551
305	242	550
306	243	549
307	244	548
308	245	548
309	245	547
310	246	546
311	247	545
312	248	544
313	248	543
314	249	542
315	250	541
316	251	542
317	252	541
318	253	540
319	254	539
320	254	539
321	255	538
322	256	537
323	257	536
324	257	535
325	258	534
326	259	533
327	259	532
328	260	531
329	261	530
330	262	530
331	263	529
332	264	528
333	264	528
334	265	527
335	266	526
336	266	525
337	267	524
338	268	523
339	269	522
340	270	522
341	270	521
342	271	520
343	272	519
344	273	518
345	273	517
346	274	516
347	275	515
348	276	515
349	276	514
350	277	513
351	278	512
352	279	512
353	280	511
354	280	510
355	281	509
356	282	509
357	283	508
358	284	507
359	285	506
360	285	506
361	286	504
362	287	504
363	288	503
364	289	503
365	289	502
366	290	501
367	291	500
368	292	499
369	292	498
370	293	497
371	294	496
372	295	496
373	295	495
374	296	494
375	297	493
376	298	492
377	299	492
378	299	491
379	300	489
380	301	489
381	301	488
382	302	487
383	303	486
384	303	485
385	304	484
386	305	483
387	306	482
388	306	482
389	307	481
390	308	480
391	309	479
392	309	478
393	310	477
394	311	477
395	312	475
396	312	474
397	313	473
398	313	472
399	314	472
400	315	471
401	316	470
402	316	469
403	317	468
404	318	467
405	319	466
406	319	466
407	320	465
408	321	464
409	321	463
410	322	462
411	323	461
412	324	461
413	325	460
414	325	459
415	326	458
416	327	457
417	327	456
418	328	455
419	329	454
420	330	453
421	330	452
422	331	451
423	332	451
424	332	450
425	333	449
426	334	448
427	335	448
428	336	448
429	337	447
430	338	446
431	339	445
432	339	444
433	340	443
434	341	443
435	342	442
436	342	441
437	343	440
438	344	440
439	345	439
440	345	438
441	346	437
442	347	436
443	348	436
444	349	435
445	349	434
446	350	434
447	351	433
448	352	432
449	353	431
450	354	431
451	355	430
452	355	429
453	356	429
454	357	428
455	358	427
456	359	427
457	360	426
458	360	425
459	361	424
460	362	424
461	363	423
462	364	422
463	365	422
464	366	421
465	367	420
466	367	419
467	368	418
468	369	418
469	370	417
470	371	416
471	371	416
472	372	415
473	373	414
474	374	414
475	375	413
476	376	412
477	377	411
478	378	411
479	378	410
480	379	409
481	380	408
482	381	408
483	382	407
484	383	406
485	383	405
486	384	404
487	385	404
488	385	403
489	386	402
490	387	401
491	388	400
492	389	400
493	390	399
494	390	398
495	391	397
496	392	397
497	393	396
498	393	395
499	394	394
500	395	394
501	396	393
502	397	392
503	399	392
504	399	391
505	400	391
506	401	390
507	402	389
508	403	388
509	404	388
510	405	387
511	405	386
512	406	386
513	407	385
514	408	384
515	408	383
516	409	382
517	410	381
518	411	381
519	411	380
520	412	379
521	413	378
522	414	377
523	415	377
524	416	376
525	416	375
526	417	374
527	418	373
528	419	373
529	419	372
530	420	371
