iter	MultiClass
0	1.580807946
1	1.54759145
2	1.517030371
3	1.487753163
4	1.459819514
5	1.435933502
6	1.411263307
7	1.389022865
8	1.366506368
9	1.345113574
10	1.324857795
11	1.310348432
12	1.295082189
13	1.280001099
14	1.261941598
15	1.242860857
16	1.226850643
17	1.210899848
18	1.199282936
19	1.184607155
20	1.172740952
21	1.161222593
22	1.150047389
23	1.137841614
24	1.127707115
25	1.11643956
26	1.106828664
27	1.094518332
28	1.084882467
29	1.075308026
30	1.066166457
31	1.059300084
32	1.051209865
33	1.04317487
34	1.034508431
35	1.02806992
36	1.019679743
37	1.01218182
38	1.006214761
39	0.9993329993
40	0.9928889251
41	0.9858276456
42	0.9790352899
43	0.973646066
44	0.9671128668
45	0.9610562638
46	0.9529198283
47	0.9467510635
48	0.9399542889
49	0.9340161833
50	0.9274677519
51	0.9227646638
52	0.9174948187
53	0.9112250079
54	0.9056134407
55	0.9008199228
56	0.8955231364
