iter	Passed	Remaining
0	9	517
1	14	393
2	26	471
3	34	461
4	42	439
5	54	464
6	65	470
7	75	460
8	84	449
9	92	432
10	104	435
11	113	427
12	123	418
13	134	412
14	143	401
15	153	392
16	165	388
17	174	379
18	185	371
19	192	356
20	204	350
21	214	340
22	224	331
23	233	320
24	244	313
25	249	297
26	259	287
27	269	279
28	279	269
29	289	260
30	304	255
31	312	243
32	321	233
33	333	225
34	343	215
35	352	205
36	364	197
37	379	189
38	388	179
39	397	168
40	408	159
41	416	148
42	424	138
43	436	128
44	446	119
45	458	109
46	471	100
47	484	90
48	494	80
49	502	70
50	514	60
51	525	50
52	536	40
53	549	30
54	560	20
55	571	10
56	581	0
